ts,"Weather forecast for wind direction at Bornholm | 9F7P/00/00/MET-Norway/forecast/wind_direction | 128270","Weather forecast for the precipitation amount for the coming 1 hour at Bornholm | 9F7P/00/00/MET-Norway/forecast/precipitation_amount_acc | 128238","Weather forecast for the relativehumidity amount  at Bornholm | 9F7P/00/00/MET-Norway/forecast/relative_humidity_2m | 128254","Weather forecast for wind speed at Bornholm | 9F7P/00/00/MET-Norway/forecast/wind_speed | 128286","Weather forecast for the air temperature at Bornholm | 9F7P/00/00/MET-Norway/forecast/air_temperature_2m | 128190"
"2023-06-12 10:00:00",80.90863037,0,0.36358869,3.20716262,293.58273315
"2023-06-12 11:00:00",80.15834045,0,0.3511067,3.40819192,293.91918945
"2023-06-12 12:00:00",86.02365875,0,0.32342696,3.78281379,293.7956543
"2023-06-12 13:00:00",87.77436066,0,0.33921975,4.19127798,293.39981079
"2023-06-12 14:00:00",88.88287354,0,0.3469255,4.25929022,292.89343262
"2023-06-12 15:00:00",84.40729523,0,0.35559249,4.13340425,292.38601685
"2023-06-12 16:00:00",78.65886688,0,0.44610772,3.88709855,291.2668457
"2023-06-12 17:00:00",82.24237823,0,0.40561089,4.17691135,290.33877563
"2023-06-12 18:00:00",74.07857513,0,0.44641298,3.96474099,289.22457886
"2023-06-12 19:00:00",69.32822418,0,0.61401606,3.45792556,287.39614868
"2023-06-12 20:00:00",68.37514496,0,0.66423333,3.09314632,286.02200317
"2023-06-12 21:00:00",67.34397125,0,0.75563407,3.06242371,285.23526001
"2023-06-12 22:00:00",71.04043579,0,0.78200144,2.92419386,284.86047363
"2023-06-12 23:00:00",65.18052673,0,0.82162881,2.4391222,284.40744019
"2023-06-13 00:00:00",60.71957779,0,0.89923537,2.72738671,284.01089478
"2023-06-13 01:00:00",51.60167313,0,0.93187451,2.2456038,283.65933228
"2023-06-13 02:00:00",33.59526062,0,0.94670588,2.13918757,283.37185669
"2023-06-13 03:00:00",37.3129158,0,0.94775939,2.04240561,283.39767456
"2023-06-13 04:00:00",30.50844765,0,0.92862421,2.09241438,284.56439209
"2023-06-13 05:00:00",51.93069458,0,0.85936403,2.66644907,286.5770874
"2023-06-13 06:00:00",54.37734604,0,0.74344277,2.41248679,288.66366577
"2023-06-13 07:00:00",63.12546158,0,0.58908451,2.24322772,290.53051758
"2023-06-13 08:00:00",70.11141968,0,0.48331013,2.5894556,291.86199951
"2023-06-13 09:00:00",75.07985687,0,0.41008276,2.86306572,292.51202393
"2023-06-13 10:00:00",101.32056427,0,0.42712668,3.09714317,292.62652588
"2023-06-13 11:00:00",100.47324371,0,0.3504205,3.16852856,292.48403931
"2023-06-13 12:00:00",82.28916931,0,0.36296299,3.57568264,292.3475647
"2023-06-13 13:00:00",74.25969696,0,0.45733845,3.47536469,291.74804688
"2023-06-13 14:00:00",80.57180786,0,0.53212172,3.42954969,290.28701782
"2023-06-13 15:00:00",69.0867157,0,0.54414558,3.30724001,290.12384033
"2023-06-13 16:00:00",65.9850769,0,0.64033711,3.50111437,288.9798584
"2023-06-13 17:00:00",60.97664261,0,0.7140066,3.60471892,288.00698853
"2023-06-13 18:00:00",61.03915787,0,0.71151966,3.14895225,287.56240845
"2023-06-13 19:00:00",61.94584274,0,0.73549211,2.35402846,286.84848022
"2023-06-13 20:00:00",48.82043839,0,0.81973618,2.45688534,285.7666626
"2023-06-13 21:00:00",46.79792786,0,0.87891006,1.96938586,284.79995728
"2023-06-13 22:00:00",35.867733,0,0.89978468,1.44696498,283.96398926
"2023-06-13 23:00:00",37.26595688,0,0.89908314,1.4664048,283.4430542
"2023-06-14 00:00:00",46.50875854,0,0.85237515,1.30716848,283.85968018
"2023-06-14 01:00:00",41.8912735,0,0.85437417,1.33591247,283.67205811
